StreetAddress,City,State,ZipCode,AUTO_UNIQUE_ID_2024-05-08_Charissa-Roeuiowaedu_Addresses,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
320 AUDUBON ST,ADAIR,IA,50002,1,56071d5a-5a85-4be5-8b63-5894ea9b86fd,0.0312884,TAMUGeocoder,5.0.0,1,,41.5003453,-94.6420543,,BuildingCentroid,Match,100,,1415.97,Meters,00,AddressPoint,MMMMMMMMMMFFF0,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},320,,,,,,AUDUBON,,ST,,,,,,,ADAIR,,,,,IA,50002,,,,,,320,,,,,,AUDUBON,,ST,,,,,,,ADAIR,,,,,IA,50002,,,,,
323 SW 2ND ST,STUART,IA,50250,2,e661335a-ea73-4df2-a2d0-e78292a90b63,1.9316679,TAMUGeocoder,5.0.0,1,,41.5029401,-94.3221447,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMM1MMMFFFFE,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},323,,SW,,,,2ND,,ST,,,,,,,STUART,,,,,IA,50250,,,,,,323,,SW,,,,2ND,,ST,,,,,,,STUART,,,,,IA,50250,,,,,
224 3RD ST,FONTANELLE,IA,50846,3,034c2606-f31e-4111-a16b-4b9257075f0c,1.8976002,TAMUGeocoder,5.0.0,1,,41.2893062,-94.5642696,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMM1MMMAFFF10,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},224,,,,,,3RD,,ST,,,,,,,FONTANELLE,,,,,IA,50846,,,,,,224,,,,,,3RD,,ST,,,,,,,FONTANELLE,,,,,IA,50846,,,,,
124 S MAPLE ST,ORIENT,IA,50858,4,f891eb50-f471-49c0-acd8-8f6c2620ea1f,0.1278321,TAMUGeocoder,5.0.0,1,,41.2015443,-94.4180825,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},124,,S,,,,MAPLE,,ST,,,,,,,ORIENT,,,,,IA,50858,,,,,,124,,S,,,,MAPLE,,ST,,,,,,,ORIENT,,,,,IA,50858,,,,,
202 N TOWNLINE RD,GREENFIELD,IA,50849,5,82eeee76-2d5a-4622-bcb7-716048bea90a,0.1261937,TAMUGeocoder,5.0.0,1,,41.3153442,-94.4591122,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},202,,N,,,,TOWNLINE,,RD,,,,,,,GREENFIELD,,,,,IA,50849,,,,,,202,,N,,,,TOWNLINE,,RD,,,,,,,GREENFIELD,,,,,IA,50849,,,,,
606 6TH STREET,CORNING,IA,50841,6,6fc9d65a-2ea7-4685-91fa-f927c93be836,0.234953,TAMUGeocoder,5.0.0,1,,40.9881283478509,-94.7364320632467,,StreetSegment,Match,100,,1346.06,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},606,,,,,,6TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,,606,,,,,,6TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,
603 9TH STREET,CORNING,IA,50841,7,359a3a59-ee07-4353-b164-e6667f41e2be,0.0483856,TAMUGeocoder,5.0.0,1,,40.9908726091998,-94.7351599418196,,StreetSegment,Match,100,,2526.02,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},603,,,,,,9TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,,603,,,,,,9TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,
800 17TH ST,CORNING,IA,50841,8,0e212618-1c2b-45a1-ba92-5bdd94d6c23d,0.1093885,TAMUGeocoder,5.0.0,1,,40.9988728097896,-94.7373146272245,,StreetSegment,Match,100,,1254.77,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},800,,,,,,17TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,,800,,,,,,17TH,,ST,,,,,,,CORNING,,,,,IA,50841,,,,,
300 7TH AVE,NODAWAY,IA,50857,9,88965056-420d-45ee-b7a1-4f0a9a619ad2,0.0781518,TAMUGeocoder,5.0.0,1,,40.9369160766739,-94.894148041139,,StreetSegment,Match,100,,1388.63,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},300,,,,,,7TH,,AVE,,,,,,,NODAWAY,,,,,IA,50857,,,,,,300,,,,,,7TH,,AVE,,,,,,,NODAWAY,,,,,IA,50857,,,,,
607 2ND ST,PRESCOTT,IA,50859,10,3ee0c49b-3db3-48a6-8e0f-d869d3373d81,0.1249953,TAMUGeocoder,5.0.0,1,,41.0230952727501,-94.610229360225,,StreetSegment,Match,100,,1306.87,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},607,,,,,,2ND,,ST,,,,,,,PRESCOTT,,,,,IA,50859,,,,,,607,,,,,,2ND,,ST,,,,,,,PRESCOTT,,,,,IA,50859,,,,,
590 WATERLOO CREEK DR,DORCHESTER,IA,52140,11,bbc173e7-e01c-4c2b-9277-ac1cd8cadbea,0.9700514,TAMUGeocoder,5.0.0,1,,43.4722746672896,-91.5155445511958,,StreetSegment,Review,98.9940828402367,,15712.53,Meters,03,StreetSegmentInterpolation,MMMM32MMMFFFFE,MMMMRMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},590,,,,,,WATERLOO CREEK,,DR,,,,,,,DORCHESTER,,,,,IA,52140,,,,,,590,,,,,,WATERLOO CREEK,,DR,,,,,,,DORCHESTER,,,,,IA,52140,,,,,
614 ROSSVILLE RD,WAUKON,IA,52172,12,f82e8b47-36b8-4ab0-9848-98d527a26caf,0.1905706,TAMUGeocoder,5.0.0,1,,43.2644514004519,-91.4743821094167,,StreetSegment,Match,100,,4532.12,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,,614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,
614 ROSSVILLE RD,WAUKON,IA,52172,13,d50e0ab6-1d44-47db-a774-27cfc42a8ff2,0.0312563,TAMUGeocoder,5.0.0,1,,43.2644514004519,-91.4743821094167,,StreetSegment,Match,100,,4532.12,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,,614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,
612 ROSSVILLE RD,WAUKON,IA,52146,14,e9bf609b-276a-4e12-8c77-e972227614b9,0.293503,TAMUGeocoder,5.0.0,1,,43.1896730440071,-91.1978719528458,,ZCTA,Match,100,,221763575.19,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFA,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},612,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52146,,,,,,612,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52146,,,,,
119 E GREENE ST,POSTVILLE,IA,52162,15,511bc5eb-7918-480a-86fc-232f355a4601,0.1725587,TAMUGeocoder,5.0.0,1,,43.0867199214829,-91.5671753342916,,StreetSegment,Match,100,,4530.08,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},119,,E,,,,GREENE,,ST,,,,,,,POSTVILLE,,,,,IA,52162,,,,,,119,,E,,,,GREENE,,ST,,,,,,,POSTVILLE,,,,,IA,52162,,,,,
119 E GREENE ST,POSTVILLE,IA,52162,16,9bbddf82-93fb-444e-83f2-12fe18e0478d,0.0312505,TAMUGeocoder,5.0.0,1,,43.0867199214829,-91.5671753342916,,StreetSegment,Match,100,,4530.08,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},119,,E,,,,GREENE,,ST,,,,,,,POSTVILLE,,,,,IA,52162,,,,,,119,,E,,,,GREENE,,ST,,,,,,,POSTVILLE,,,,,IA,52162,,,,,
115 MAIN ST,WATERVILLE,IA,52170,17,effe9f78-6159-464f-aeed-6ea0900ea841,0.0468607,TAMUGeocoder,5.0.0,1,,43.2140007399616,-91.2965750897628,,StreetSegment,Match,100,,1014.01,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},115,,,,,,MAIN,,ST,,,,,,,WATERVILLE,,,,,IA,52170,,,,,,115,,,,,,MAIN,,ST,,,,,,,WATERVILLE,,,,,IA,52170,,,,,
238 N 4,HARPERS FERRY,IA,52146,18,47ae5a6d-84fe-42a6-87b1-7bc7133c2d08,0.9676097,TAMUGeocoder,5.0.0,1,,43.1985411230634,-91.1546126922086,,StreetSegment,Review,94.9704142011834,,3551.7,Meters,03,StreetSegmentInterpolation,MM1MMF7MMFFFFB,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},238,,N,,,,4,,,,,,,,,HARPERS FERRY,,,,,IA,52146,,,,,,238,,N,,,,4,,,,,,,,,HARPERS FERRY,,,,,IA,52146,,,,,
648 MAIN ST,LANSING,IA,52151,19,5d1376dc-02ac-4ec5-a49c-793328061b7d,0.2483673,TAMUGeocoder,5.0.0,1,,43.3618291684183,-91.2233519345567,,StreetSegment,Match,100,,3996.18,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},648,,,,,,MAIN,,ST,,,,,,,LANSING,,,,,IA,52151,,,,,,648,,,,,,MAIN,,ST,,,,,,,LANSING,,,,,IA,52151,,,,,
137 RAILROAD AVE SW,NEW ALBIN,IA,52160,20,23bd4988-b54f-4d9b-ae93-159aad9ef6cd,0.0312424,TAMUGeocoder,5.0.0,1,,43.4981256891731,-91.2880557841412,,StreetSegment,Match,98.8165680473373,,11049,Meters,03,StreetSegmentInterpolation,MMMMMM4MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},137,,,,,,RAILROAD,,AVE,,SW,,,,,NEW ALBIN,,,,,IA,52160,,,,,,137,,,,,,RAILROAD,,AVE,,SW,,,,,NEW ALBIN,,,,,IA,52160,,,,,
614 ROSSVILLE RD,WAUKON,IA,52172,21,4e4777e7-289b-4588-8045-1c7ebf5fb5e1,0.0312501,TAMUGeocoder,5.0.0,1,,43.2644514004519,-91.4743821094167,,StreetSegment,Match,100,,4532.12,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,,614,,,,,,ROSSVILLE,,RD,,,,,,,WAUKON,,,,,IA,52172,,,,,
