,Unnamed: 0,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude
0,0,11/3/2020,IA,Adair,Adair,county,1NW,1NW ADAIR,0,election_day,ADAIR CITY HALL,"320 AUDUBON ST, ADAIR, IA 50002",0,ORR,10/9/2020,0,320 AUDUBON ST,ADAIR,IA,50002,NonReligious,1,0,NonReligious,41.5003453,-94.6420543
1,1,11/3/2020,IA,Adair,Adair,county,2NE,2NE STUART,0,election_day,STUART RECREATIONAL CENTER (AMERICAN LEGION),"323 SW 2ND ST, STUART, IA 50250",0,ORR,10/9/2020,0,323 SW 2ND ST,STUART,IA,50250,NonReligious,1,0,NonReligious,41.5029401,-94.3221447
2,2,11/3/2020,IA,Adair,Adair,county,3SW,3SW FONTANELLE,0,election_day,FONTANELLE COMMUNITY BUILDING,"224 3RD ST, FONTANELLE, IA 50846",0,ORR,10/9/2020,0,224 3RD ST,FONTANELLE,IA,50846,NonReligious,1,0,NonReligious,41.2893062,-94.5642696
3,3,11/3/2020,IA,Adair,Adair,county,4SE,4SE ORIENT,0,election_day,ORIENT UNITED METHODIST CHURCH,"124 S MAPLE ST, ORIENT, IA 50858",0,ORR,10/9/2020,0,124 S MAPLE ST,ORIENT,IA,50858,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,41.2015443,-94.4180825
4,4,11/3/2020,IA,Adair,Adair,county,5GF,5GF GREENFIELD,0,election_day,ADAIR CO HEALTH & FITNESS CENTER,"202 N TOWNLINE RD, GREENFIELD, IA 50849",0,ORR,10/9/2020,0,202 N TOWNLINE RD,GREENFIELD,IA,50849,NonReligious,1,0,NonReligious,41.3153442,-94.4591122
5,5,11/3/2020,IA,Adams,Adams,county,AD1,ADAMS 1,0,election_day,CORNING COMMUNITY CENTER,"606 6TH STREET, CORNING, IA 50841",0,ORR,10/9/2020,0,606 6TH STREET,CORNING,IA,50841,NonReligious,1,0,NonReligious,40.98812835,-94.73643206
6,6,11/3/2020,IA,Adams,Adams,county,AD2,ADAMS 2,0,election_day,CORNING CITY LIBRARY,"603 9TH STREET, CORNING, IA 50841",0,ORR,10/9/2020,0,603 9TH STREET,CORNING,IA,50841,NonReligious,1,0,NonReligious,40.99087261,-94.73515994
7,7,11/3/2020,IA,Adams,Adams,county,AD3,ADAMS 3,0,election_day,REDEEMER LUTHERAN CHURCH,"800 17TH ST, CORNING, IA 50841",0,ORR,10/9/2020,0,800 17TH ST,CORNING,IA,50841,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,40.99887281,-94.73731463
8,8,11/3/2020,IA,Adams,Adams,county,AD4,ADAMS 4,0,election_day,NODAWAY COMMUNITY BUILDING,"300 7TH AVE, NODAWAY, IA 50857",0,ORR,10/9/2020,0,300 7TH AVE,NODAWAY,IA,50857,NonReligious,1,0,NonReligious,40.93691608,-94.89414804
9,9,11/3/2020,IA,Adams,Adams,county,AD5,ADAMS 5,0,election_day,PRESCOTT CITY HALL,"607 2ND ST, PRESCOTT, IA 50859",0,ORR,10/9/2020,0,607 2ND ST,PRESCOTT,IA,50859,NonReligious,1,0,NonReligious,41.02309527,-94.61022936
10,10,11/3/2020,IA,Allamakee,Allamakee,county,PCT 1,WL/HV,0,election_day,ST. MARY'S CHURCH DORCHESTER,"590 WATERLOO CREEK DR, DORCHESTER, IA 52140",0,ORR,10/9/2020,0,590 WATERLOO CREEK DR,DORCHESTER,IA,52140,ReligiousBuilding,0,1,Religious,43.47227467,-91.51554455
