category,word
ReligiousBuilding,CHURCH
ReligiousBuilding,SYNAGOGUE
ReligiousBuilding,MOSQUE
ReligiousBuilding,CHRISTIAN
ReligiousBuilding,METHODIST
ReligiousBuilding,LUTHERAN
ReligiousBuilding,ZION
ReligiousBuilding,PASTORAL
ReligiousBuilding,PARISH
ReligiousBuilding,PRESB
ReligiousBuilding,CATHOLIC
ReligiousBuilding,GOD
ReligiousBuilding,CHAPEL
ReligiousBuilding,TEMPLE
ReligiousBuilding,BIBLE
ReligiousBuilding,BAPTIST
ReligiousBuilding,SACRED HEART
ReligiousBuilding,NAZARENE
ReligiousBuilding,BUDDHA
ReligiousBuilding,CALVINIS
ReligiousBuilding,JEHOVAH
ReligiousBuilding,JESUS
ReligiousBuilding,PROTESTANT
ReligiousBuilding,ALLAH
ReligiousBuilding,SHIA
ReligiousBuilding,SUNI
ReligiousBuilding,ORTHODOX
