,Unnamed: 0,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_x,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude,Precinct1,Precinct2,Precinct,Unnamed: 0_y,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Dem Percent,Dem Absent of Total,Dem Day of Total,Dem Absent of Dem,Dem Day of Dem,Rep Percent,Rep Absent of Total,Rep Day of Total,Rep Absent of Rep,Rep Day of Rep,Dem Absent to Rep Absent,Dem Day to Rep Day,Total Absent of Total,Total Day of Total,Percent Vote of Registered
0,0,0,0,0,11/3/2020,IA,Adair,Adair,county,1NW,1NW Adair,0,election_day,ADAIR CITY HALL,"320 AUDUBON ST, ADAIR, IA 50002",0,ORR,10/9/2020,0,320 AUDUBON ST,ADAIR,IA,50002,NonReligious,1,0,NonReligious,41.5003453,-94.6420543,Adair 1NW,Adair 1NW Adair,Adair 1 NW,0,1 NW,0,384,244,628,90,125,215,0,2,2,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,1,1,853,0.25205158264947247,0.14654161781946073,0.10550996483001172,0.5813953488372093,0.4186046511627907,0.7362250879249707,0.28604923798358733,0.4501758499413834,0.3885350318471338,0.6114649681528662,0.5122950819672131,0.234375,0.43259085580304807,0.5556858147713951,
1,1,1,1,1,11/3/2020,IA,Adair,Adair,county,2NE,2NE Stuart,0,election_day,STUART RECREATIONAL CENTER (AMERICAN LEGION),"323 SW 2ND ST, STUART, IA 50250",0,ORR,10/9/2020,0,323 SW 2ND ST,STUART,IA,50250,NonReligious,1,0,NonReligious,41.5029401,-94.3221447,Adair 2NE,Adair 2NE Stuart,Adair 2 NE,1,2 NE,0,343,245,588,69,181,250,0,0,0,0,3,3,0,0,0,0,0,0,5,5,10,0,0,0,1,1,2,1,0,1,854,0.2927400468384075,0.21194379391100704,0.080796253,0.724,0.276,0.6885245901639344,0.28688524590163933,0.4016393442622951,0.4166666666666667,0.5833333333333334,0.7387755102040816,0.20116618075801748,0.49882903981264637,0.48243559718969553,
2,2,2,2,2,11/3/2020,IA,Adair,Adair,county,3SW,3SW Fontanelle,0,election_day,FONTANELLE COMMUNITY BUILDING,"224 3RD ST, FONTANELLE, IA 50846",0,ORR,10/9/2020,0,224 3RD ST,FONTANELLE,IA,50846,NonReligious,1,0,NonReligious,41.2893062,-94.5642696,Adair 3SW,Adair 3SW Fontanelle,Adair 3 SW,2,3 SW,0,375,235,610,64,134,198,1,1,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,2,0,0,0,815,0.24294478527607363,0.16441717791411042,0.078527607,0.6767676767676768,0.32323232323232326,0.7484662576687117,0.2883435582822086,0.4601226993865031,0.38524590163934425,0.6147540983606558,0.5702127659574469,0.17066666666666666,0.452760736,0.5386503067484663,
3,3,3,3,3,11/3/2020,IA,Adair,Adair,county,4SE,4SE Orient,0,election_day,ORIENT UNITED METHODIST CHURCH,"124 S MAPLE ST, ORIENT, IA 50858",0,ORR,10/9/2020,0,124 S MAPLE ST,ORIENT,IA,50858,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,41.2015443,-94.4180825,Adair 4SE,Adair 4SE Orient,Adair 4 SE,3,4 SE,0,329,230,559,65,169,234,0,0,0,0,0,0,0,0,0,0,2,2,5,1,6,0,0,0,1,1,2,3,0,3,806,0.2903225806451613,0.20967741935483872,0.080645161,0.7222222222222222,0.2777777777777778,0.6935483870967742,0.2853598014888337,0.40818858560794047,0.41144901610017887,0.5885509838998211,0.7347826086956522,0.19756838905775076,0.49503722084367247,0.48883374689826303,
4,4,4,4,4,11/3/2020,IA,Adair,Adair,county,5GF,5GF Greenfield,0,election_day,ADAIR CO HEALTH & FITNESS CENTER,"202 N TOWNLINE RD, GREENFIELD, IA 50849",0,ORR,10/9/2020,0,202 N TOWNLINE RD,GREENFIELD,IA,50849,NonReligious,1,0,NonReligious,41.3153442,-94.4591122,Adair 5GF,Adair 5GF Greenfield,Adair 5 GF,4,5 GF,0,282,250,532,87,214,301,0,2,2,0,0,0,0,0,0,1,1,2,6,4,10,0,1,1,1,0,1,0,0,0,849,0.3545347467608952,0.25206124852767964,0.10247349823321555,0.7109634551495017,0.28903654485049834,0.6266195524146054,0.2944640753828033,0.3321554770318021,0.4699248120300752,0.5300751879699248,0.856,0.30851063829787234,0.5465253239104829,0.43462897526501765,
6,6,6,6,6,11/3/2020,IA,Adams,Adams,county,AD2,Adams 2,0,election_day,CORNING CITY LIBRARY,"603 9TH STREET, CORNING, IA 50841",0,ORR,10/9/2020,0,603 9TH STREET,CORNING,IA,50841,NonReligious,1,0,NonReligious,40.99087261,-94.73515994,Adams AD2,Adams Adams 2,Adams Adams 2,959,Adams 2,612,139,160,299,45,86,131,0,1,1,0,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,435,0.30114942528735633,0.19770114942528735,0.10344827586206896,0.6564885496183206,0.3435114503816794,0.6873563218390805,0.367816092,0.3195402298850575,0.5351170568561873,0.46488294314381273,0.5375,0.3237410071942446,0.5655172413793104,0.42298850574712643,0.710784314
5,5,5,5,5,11/3/2020,IA,Adams,Adams,county,AD1,Adams 1,0,election_day,CORNING COMMUNITY CENTER,"606 6TH STREET, CORNING, IA 50841",0,ORR,10/9/2020,0,606 6TH STREET,CORNING,IA,50841,NonReligious,1,0,NonReligious,40.98812835,-94.73643206,Adams AD1,Adams Adams 1,Adams Adams 1,958,Adams 1,511,129,111,240,33,79,112,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,0,0,0,0,1,1,1,0,1,369,0.3035230352303523,0.2140921409214092,0.089430894,0.7053571428571429,0.29464285714285715,0.6504065040650406,0.3008130081300813,0.34959349593495936,0.4625,0.5375,0.7117117117117117,0.2558139534883721,0.5149051490514905,0.43902439024390244,0.722113503
9,9,9,9,9,11/3/2020,IA,Adams,Adams,county,AD5,Adams 5,0,election_day,PRESCOTT CITY HALL,"607 2ND ST, PRESCOTT, IA 50859",0,ORR,10/9/2020,0,607 2ND ST,PRESCOTT,IA,50859,NonReligious,1,0,NonReligious,41.02309527,-94.61022936,Adams AD5,Adams Adams 5,Adams Adams 5,962,Adams 5,572,192,156,348,28,59,87,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,1,2,441,0.19727891156462585,0.13378684807256236,0.063492063,0.6781609195402298,0.3218390804597701,0.7891156462585034,0.35374149659863946,0.43537414965986393,0.4482758620689655,0.5517241379310345,0.3782051282051282,0.14583333333333334,0.4875283446712018,0.4988662131519274,0.770979021
8,8,8,8,8,11/3/2020,IA,Adams,Adams,county,AD4,Adams 4,0,election_day,NODAWAY COMMUNITY BUILDING,"300 7TH AVE, NODAWAY, IA 50857",0,ORR,10/9/2020,0,300 7TH AVE,NODAWAY,IA,50857,NonReligious,1,0,NonReligious,40.93691608,-94.89414804,Adams AD4,Adams Adams 4,Adams Adams 4,961,Adams 4,572,128,198,326,17,98,115,0,1,1,0,1,1,0,0,0,1,0,1,2,1,3,0,0,0,1,0,1,0,0,0,448,0.25669642857142855,0.21875,0.037946429,0.8521739130434782,0.14782608695652175,0.7276785714285714,0.4419642857142857,0.2857142857142857,0.6073619631901841,0.39263803680981596,0.494949495,0.1328125,0.6607142857142857,0.3236607142857143,0.783216783
7,7,7,7,7,11/3/2020,IA,Adams,Adams,county,AD3,Adams 3,0,election_day,REDEEMER LUTHERAN CHURCH,"800 17TH ST, CORNING, IA 50841",0,ORR,10/9/2020,0,800 17TH ST,CORNING,IA,50841,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,40.99887281,-94.73731463,Adams AD3,Adams Adams 3,Adams Adams 3,960,Adams 3,589,164,153,317,30,115,145,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,2,2,467,0.31049250535331907,0.2462526766595289,0.064239829,0.7931034482758621,0.20689655172413793,0.6788008565310493,0.32762312633832974,0.3511777301927195,0.48264984227129337,0.5173501577287066,0.7516339869281046,0.18292682926829268,0.5738758029978587,0.41541755888650966,0.79286927
