,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
0,1 NW,0,384,244,628,90,125,215,0,2,2,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,1,1,853,Adair 1 NW
1,2 NE,0,343,245,588,69,181,250,0,0,0,0,3,3,0,0,0,0,0,0,5,5,10,0,0,0,1,1,2,1,0,1,854,Adair 2 NE
2,3 SW,0,375,235,610,64,134,198,1,1,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,2,0,0,0,815,Adair 3 SW
3,4 SE,0,329,230,559,65,169,234,0,0,0,0,0,0,0,0,0,0,2,2,5,1,6,0,0,0,1,1,2,3,0,3,806,Adair 4 SE
4,5 GF,0,282,250,532,87,214,301,0,2,2,0,0,0,0,0,0,1,1,2,6,4,10,0,1,1,1,0,1,0,0,0,849,Adair 5 GF
5,Pct 01 - WL/HV,357,100,79,179,15,73,88,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,269,Allamakee Pct 01 - WL/HV
6,Pct 02 - FC/JF/LL/MK/UP,1701,366,581,947,56,334,390,1,0,1,1,2,3,0,0,0,0,0,0,6,7,13,0,1,1,0,1,1,1,0,1,1357,Allamakee Pct 02 - FC/JF/LL/MK/UP
7,Pct 03 - PO/FK,488,117,168,285,11,82,93,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,381,Allamakee Pct 03 - PO/FK
8,Pct 04 - Postville City,873,182,148,330,76,158,234,1,0,1,0,1,1,0,0,0,0,0,0,3,1,4,0,1,1,0,0,0,0,0,0,571,Allamakee Pct 04 - Postville City
9,Pct 05 - LT/PC/WV CITY,569,154,154,308,20,102,122,0,0,0,0,0,0,0,1,1,1,1,2,5,1,6,1,1,2,0,0,0,0,1,1,442,Allamakee Pct 05 - LT/PC/WV CITY
10,Pct 06 - FV/TL/HF CITY,680,189,144,333,49,159,208,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,545,Allamakee Pct 06 - FV/TL/HF CITY
11,Pct 07 - CN/LF/LS/LS CITY,1790,314,387,701,122,413,535,0,1,1,0,1,1,0,0,0,0,0,0,7,4,11,0,0,0,1,0,1,1,0,1,1251,Allamakee Pct 07 - CN/LF/LS/LS CITY
12,Pct 08 - IA/UC/NA CITY,780,249,146,395,45,123,168,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,567,Allamakee Pct 08 - IA/UC/NA CITY
13,Pct 09 - Waukon 1,953,117,328,445,28,219,247,0,0,0,0,2,2,0,0,0,0,0,0,6,5,11,1,0,1,0,0,0,0,0,0,706,Allamakee Pct 09 - Waukon 1
14,Pct 10 - Waukon 2,1008,150,235,385,62,199,261,0,0,0,0,0,0,0,0,0,0,2,2,8,5,13,0,0,0,0,2,2,0,1,1,664,Allamakee Pct 10 - Waukon 2
15,Pct 11 - Waukon 3,911,105,322,427,24,206,230,0,0,0,1,2,3,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,3,3,669,Allamakee Pct 11 - Waukon 3
16,#1- North 1/2,2404,587,721,1308,120,421,541,0,0,0,0,4,4,0,0,0,2,1,3,11,10,21,1,1,2,1,0,1,0,2,2,1882,Audubon #1- North 1/2
17,#2- South 1/2,1936,513,474,987,143,387,530,0,1,1,0,1,1,0,0,0,3,1,4,6,5,11,1,0,1,1,0,1,2,0,2,1538,Audubon #2- South 1/2
18,Barclay Lester Dunkerton,1390,538,192,730,152,234,386,1,0,1,0,0,0,0,0,0,0,1,1,12,5,17,1,0,1,1,0,1,1,1,2,1139,BlackHawk Barclay Lester Dunkerton
19,Bennington,353,162,72,234,16,50,66,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,304,BlackHawk Bennington
20,Big Creek La Porte City,1803,587,291,878,180,382,562,0,1,1,1,0,1,0,0,0,1,2,3,14,8,22,0,0,0,4,0,4,1,1,2,1473,BlackHawk Big Creek La Porte City
21,Black Hawk Hudson Lincoln,2437,748,521,1269,229,529,758,0,2,2,1,1,2,0,0,0,0,1,1,12,9,21,0,0,0,2,1,3,3,1,4,2060,BlackHawk Black Hawk Hudson Lincoln
22,Cedar Orange,1410,404,259,663,139,352,491,0,0,0,1,0,1,0,1,1,2,1,3,4,4,8,2,0,2,0,0,0,0,4,4,1173,BlackHawk Cedar Orange
23,CF W1 P1,1379,350,201,551,158,361,519,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,1,0,1,0,2,2,1,0,1,1086,BlackHawk CF W1 P1
24,CF W1 P2,2256,339,304,643,217,844,1061,0,0,0,0,0,0,0,0,0,1,2,3,11,4,15,1,0,1,2,1,3,0,3,3,1729,BlackHawk CF W1 P2
25,CF W1 P3,2172,262,238,500,304,802,1106,0,0,0,2,0,2,0,0,0,0,5,5,19,4,23,1,0,1,2,2,4,2,3,5,1646,BlackHawk CF W1 P3
26,CF W2 P1,717,115,47,162,155,138,293,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,0,0,0,1,1,2,1,0,1,472,BlackHawk CF W2 P1
27,CF W2 P2 CF Twp,2667,465,465,930,327,742,1069,2,0,2,0,1,1,1,0,1,0,0,0,10,9,19,0,0,0,2,2,4,3,3,6,2032,BlackHawk CF W2 P2 CF Twp
28,CF W2 P3,3850,565,892,1457,231,1341,1572,0,1,1,0,0,0,0,0,0,1,1,2,9,21,30,0,3,3,1,2,3,4,7,11,3079,BlackHawk CF W2 P3
29,CF W3 P1,1836,327,397,724,154,569,723,2,2,4,0,2,2,0,1,1,2,0,2,4,16,20,0,0,0,2,6,8,1,3,4,1488,BlackHawk CF W3 P1
30,CF W3 P2,2681,530,556,1086,211,890,1101,1,0,1,0,0,0,0,0,0,0,1,1,14,13,27,0,1,1,0,1,1,0,6,6,2224,BlackHawk CF W3 P2
31,CF W3 P3,1451,151,166,317,139,302,441,1,0,1,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,1,0,1,0,0,0,771,BlackHawk CF W3 P3
32,CF W4 P1,2121,374,328,702,254,704,958,2,0,2,1,0,1,0,0,0,3,1,4,14,12,26,0,0,0,3,0,3,2,4,6,1702,BlackHawk CF W4 P1
33,CF W4 P2,1497,182,94,276,292,386,678,0,0,0,0,0,0,0,0,0,0,2,2,18,5,23,0,0,0,2,0,2,1,3,4,985,BlackHawk CF W4 P2
34,CF W4 P3,1190,141,47,188,206,232,438,0,0,0,0,0,0,0,0,0,3,0,3,6,5,11,0,0,0,1,0,1,3,1,4,645,BlackHawk CF W4 P3
35,CF W5 P1,1955,341,336,677,191,698,889,1,1,2,2,1,3,0,0,0,1,1,2,10,5,15,0,0,0,0,3,3,1,5,6,1597,BlackHawk CF W5 P1
36,CF W5 P2,2100,292,350,642,207,726,933,1,2,3,1,2,3,0,0,0,2,3,5,13,4,17,1,0,1,1,3,4,2,5,7,1615,BlackHawk CF W5 P2
37,CF W5 P3,1974,396,418,814,173,634,807,1,3,4,1,2,3,0,1,1,2,2,4,9,5,14,0,0,0,0,2,2,1,5,6,1655,BlackHawk CF W5 P3
38,Eagle,351,150,95,245,18,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,315,BlackHawk Eagle
39,Elk Run Heights Raymond,1419,418,219,637,143,336,479,0,0,0,1,0,1,0,0,0,1,0,1,6,7,13,0,0,0,1,3,4,1,1,2,1137,BlackHawk Elk Run Heights Raymond
40,Evansdale W1,774,210,82,292,101,174,275,0,1,1,0,1,1,0,0,0,0,0,0,6,3,9,0,0,0,1,0,1,0,0,0,579,BlackHawk Evansdale W1
41,Evansdale W2,736,179,101,280,94,149,243,0,0,0,0,1,1,0,0,0,0,1,1,7,1,8,0,0,0,3,0,3,0,0,0,536,BlackHawk Evansdale W2
42,Evansdale W3,784,183,86,269,57,155,212,1,0,1,0,2,2,0,1,1,0,0,0,5,3,8,0,0,0,1,1,2,2,1,3,498,BlackHawk Evansdale W3
43,Evansdale W4,871,242,103,345,105,195,300,2,0,2,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,1,1,2,0,1,1,662,BlackHawk Evansdale W4
44,Mt Vernon,805,198,194,392,43,215,258,1,1,2,0,1,1,1,2,3,0,0,0,2,1,3,1,0,1,0,2,2,1,2,3,665,BlackHawk Mt Vernon
45,Poyner P1 East Wloo,740,192,156,348,44,167,211,1,0,1,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,564,BlackHawk Poyner P1 East Wloo
46,Poyner P2 Gilb Fox Jesup,1424,442,296,738,104,353,457,0,0,0,1,0,1,0,0,0,2,0,2,3,2,5,0,1,1,1,1,2,0,1,1,1207,BlackHawk Poyner P2 Gilb Fox Jesup
47,Spring Creek,250,78,69,147,18,44,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,213,BlackHawk Spring Creek
48,Union,752,207,205,412,36,195,231,0,0,0,0,1,1,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,1,1,2,652,BlackHawk Union
49,Washington Janesville,527,186,96,282,46,101,147,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,1,1,0,1,1,436,BlackHawk Washington Janesville
50,WL W1 P1,1656,290,306,596,140,557,697,1,1,2,1,2,3,1,0,1,2,0,2,8,10,18,0,1,1,3,1,4,3,3,6,1330,BlackHawk WL W1 P1
51,WL W1 P2,1630,257,265,522,166,505,671,0,0,0,0,2,2,0,0,0,0,0,0,6,7,13,0,0,0,1,1,2,3,3,6,1216,BlackHawk WL W1 P2
52,WL W1 P3,1466,173,139,312,172,413,585,0,1,1,1,0,1,0,0,0,1,0,1,13,2,15,0,0,0,2,3,5,2,2,4,924,BlackHawk WL W1 P3
53,WL W1 P4,1622,287,296,583,137,497,634,0,0,0,2,0,2,0,0,0,2,0,2,4,12,16,0,0,0,2,0,2,2,3,5,1244,BlackHawk WL W1 P4
54,WL W1 P5,1401,274,236,510,148,445,593,0,0,0,0,0,0,0,1,1,2,0,2,3,5,8,0,0,0,1,0,1,3,0,3,1118,BlackHawk WL W1 P5
55,WL W1 P6,2397,414,593,1007,171,708,879,1,0,1,1,1,2,0,0,0,2,0,2,8,11,19,0,0,0,0,0,0,0,6,6,1916,BlackHawk WL W1 P6
56,WL W2 P1,1099,107,230,337,85,391,476,0,0,0,0,0,0,0,1,1,1,1,2,3,2,5,0,2,2,1,1,2,0,1,1,826,BlackHawk WL W2 P1
